File di Test,Funzione di Test,Helper Esterni Utilizzati,Stato Revisione,Note
integration/arco/test_arco_edge_cases_EXT.py,TestArcoProxyEdges_EXT.test_proxy_missing_basic_auth_is_rejected_before_s3_EXT(),Nessuno,,
integration/arco/test_arco_edge_cases_EXT.py,TestArcoProxyEdges_EXT.test_proxy_wrong_basic_auth_is_rejected_before_s3_EXT(),helpers/auth.py -> make_basic_auth(),,
integration/arco/test_arco_edge_cases_EXT.py,TestArcoProxyEdges_EXT.test_proxy_s3_no_such_key_returns_404_EXT(),Nessuno,,
integration/arco/test_arco_edge_cases_EXT.py,TestArcoProxyEdges_EXT.test_proxy_s3_non_no_such_key_returns_server_error_EXT(),Nessuno,,
integration/arco/test_arco_edge_cases_EXT.py,TestArcoProxyEdges_EXT.test_proxy_sets_mimetype_from_object_filename_EXT(),Nessuno,,
integration/arco/test_arco_edge_cases_EXT.py,TestArcoCatalogEdges_EXT.test_catalog_keeps_only_zarr_prefixes_and_enriches_metadata_EXT(),Nessuno,,
integration/arco/test_arco_edge_cases_EXT.py,TestArcoCatalogEdges_EXT.test_catalog_missing_zmetadata_keeps_default_dataset_fallback_EXT(),Nessuno,,
integration/arco/test_arco_edge_cases_EXT.py,TestArcoCatalogEdges_EXT.test_catalog_unknown_license_and_attribution_do_not_break_response_EXT(),Nessuno,,
integration/arco/test_arco_edge_cases_EXT.py,TestArcoCatalogEdges_EXT.test_catalog_pagination_uses_next_continuation_token_EXT(),Nessuno,,
integration/connectors/test_s3_connector_EXT.py,TestS3Connector_EXT.test_connect_requires_host_key_id_and_access_key_EXT(),Nessuno,,
integration/connectors/test_s3_connector_EXT.py,TestS3Connector_EXT.test_connect_builds_endpoint_from_host_port_scheme_EXT(),Nessuno,,
integration/connectors/test_s3_connector_EXT.py,TestS3Connector_EXT.test_connect_respects_explicit_endpoint_and_verify_ssl_variable_EXT(),Nessuno,,
integration/connectors/test_s3_connector_EXT.py,TestS3Connector_EXT.test_connect_raises_service_unavailable_when_bucket_probe_fails_EXT(),Nessuno,,
integration/connectors/test_s3_connector_EXT.py,TestS3Connector_EXT.test_is_connected_returns_true_or_false_from_bucket_probe_EXT(),Nessuno,,
integration/connectors/test_s3_connector_EXT.py,TestS3Connector_EXT.test_disconnect_resets_client_and_marks_connector_disconnected_EXT(),Nessuno,,
integration/customizer/test_user_customizer_EXT.py,test_custom_user_properties_pre_sets_defaults_and_extracts_datasets_EXT,Nessuno,,
integration/customizer/test_user_customizer_EXT.py,test_custom_user_properties_post_associates_valid_datasets_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/customizer/test_user_customizer_EXT.py,test_custom_user_properties_post_missing_dataset_raises_notfound_EXT,Nessuno,,
integration/customizer/test_user_customizer_EXT.py,test_manipulate_profile_includes_all_custom_fields_EXT,Nessuno,,
integration/customizer/test_user_customizer_EXT.py,test_custom_input_and_output_fields_by_scope_EXT,Nessuno,,
integration/data/test_data_endpoint_submission_EXT.py,test_post_data_happy_path_creates_request_and_records_celery_routing,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_submission_EXT.py,test_post_data_push_requires_user_queue_before_contacting_rabbit,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_submission_EXT.py,test_post_data_push_rejects_missing_rabbit_queue,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_submission_EXT.py,test_post_data_push_positive_persists_pushing_queue,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_submission_EXT.py,test_post_data_observed_quota_forbidden_uses_fake_size_and_quota_checks,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_validation_EXT.py,test_post_data_returns_404_for_missing_dataset,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_validation_EXT.py,test_post_data_returns_400_for_mixed_dataset_formats,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_validation_EXT.py,test_post_data_returns_400_for_different_license_groups,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_validation_EXT.py,test_post_data_returns_400_for_invalid_output_format_schema,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_validation_EXT.py,test_post_data_returns_400_when_output_format_is_incompatible_with_grib,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_validation_EXT.py,test_post_data_returns_401_for_unauthorized_postprocessor_usage,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_data_endpoint_validation_EXT.py,test_post_data_returns_400_when_only_reliable_is_not_supported,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_file_download_EXT.py,test_file_download_returns_owned_output_content,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_file_download_EXT.py,test_file_download_denies_non_owned_output,helpers/cleanup.py -> CleanupRegistry,,
integration/data/test_file_download_EXT.py,test_file_download_returns_404_when_db_row_exists_but_file_is_missing,helpers/cleanup.py -> CleanupRegistry,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_map_mode_returns_recent_agrmet_filters,helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_dataset_mode_returns_agrmet_filters,helpers/cleanup.py -> CleanupRegistry; helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_archived_map_mode_rejects_anonymous_user,Nessuno,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_archived_map_mode_rejects_user_without_archive_permission,helpers/cleanup.py -> CleanupRegistry,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_unknown_network_returns_not_found,helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_private_network_returns_unauthorized_without_local_oracle,helpers/cleanup.py -> CleanupRegistry; helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_missing_license_group_returns_bad_request,helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_unknown_license_group_returns_bad_request,helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_mismatch_network_license_returns_bad_request,helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_missing_dataset_returns_not_found,Nessuno,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_incomplete_bbox_returns_bad_request,helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_only_summary_stats_returns_stats_only,helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_summary_stats_false_omits_summary_stats,helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_observed_all_available_products_excludes_unauthorized_private_group,helpers/cleanup.py -> CleanupRegistry; helpers/runtime.py -> TestRuntime,,
integration/fields/test_fields_api_EXT.py,test_fields_forecast_dataset_mode_returns_descriptions_for_allowed_window,helpers/cleanup.py -> CleanupRegistry,,
integration/fields/test_fields_api_EXT.py,test_fields_forecast_missing_dataset_returns_not_found,Nessuno,,
integration/fields/test_fields_api_EXT.py,test_fields_forecast_multiple_categories_return_bad_request,helpers/cleanup.py -> CleanupRegistry,,
integration/fields/test_fields_api_EXT.py,test_fields_forecast_multiple_license_groups_return_bad_request,helpers/cleanup.py -> CleanupRegistry,,
integration/fields/test_fields_api_EXT.py,test_fields_forecast_multimodel_multi_dataset_returns_bad_request,helpers/cleanup.py -> CleanupRegistry,,
integration/fields/test_fields_api_EXT.py,test_fields_forecast_only_summary_stats_returns_stats_only,helpers/cleanup.py -> CleanupRegistry,,
integration/fields/test_fields_api_EXT.py,test_fields_forecast_summary_stats_false_is_skipped_for_known_backend_bug,helpers/cleanup.py -> CleanupRegistry,,
integration/initializer/test_initializer_smoke_EXT.py,TestInitializerSmoke_EXT.test_initializer_module_imports_without_running_seed_EXT(),Nessuno,,
integration/initializer/test_initializer_smoke_EXT.py,TestInitializerSmoke_EXT.test_migration_versions_import_without_running_upgrade_EXT(),Nessuno,,
integration/initializer/test_initializer_smoke_EXT.py,TestInitializerSmoke_EXT.test_initializer_recreates_cleanup_cron_without_duplicate_seed_EXT(),Nessuno,,
integration/observed/test_observations_download_EXT.py,test_observed_post_download_json_returns_stream_for_dballe_window,helpers/runtime.py -> TestRuntime,,
integration/observed/test_observations_download_EXT.py,test_observed_post_download_bufr_returns_octet_stream_for_dballe_window,helpers/runtime.py -> TestRuntime,,
integration/observed/test_observations_download_EXT.py,test_observed_post_reliability_check_smoke_uses_dballe_window,helpers/runtime.py -> TestRuntime,,
integration/observed/test_observations_download_EXT.py,test_observed_post_invalid_output_format_returns_bad_request,helpers/runtime.py -> TestRuntime,,
integration/observed/test_observations_download_EXT.py,test_observed_post_incomplete_bbox_returns_bad_request,helpers/runtime.py -> TestRuntime,,
integration/observed/test_observations_download_EXT.py,test_observed_post_missing_license_returns_bad_request,Nessuno,,
integration/observed/test_observations_download_EXT.py,test_observed_post_unknown_license_group_returns_bad_request,Nessuno,,
integration/observed/test_observations_download_EXT.py,test_observed_post_mismatch_network_license_returns_bad_request,Nessuno,,
integration/observed/test_observations_download_EXT.py,test_observed_post_unknown_network_returns_not_found,Nessuno,,
integration/observed/test_observations_download_EXT.py,test_observed_post_private_network_returns_unauthorized_without_local_oracle,helpers/cleanup.py -> CleanupRegistry,,
integration/observed/test_observations_download_EXT.py,test_observed_post_single_station_without_networks_returns_bad_request,Nessuno,,
integration/observed/test_observations_download_EXT.py,test_observed_post_single_station_with_multiple_networks_returns_bad_request,Nessuno,,
integration/observed/test_observations_download_EXT.py,test_observed_post_single_station_without_station_identity_returns_bad_request,Nessuno,,
integration/observed/test_observations_download_EXT.py,test_observed_post_archived_window_rejects_anonymous_user,Nessuno,,
integration/observed/test_observations_download_EXT.py,test_observed_post_archived_window_rejects_user_without_archive_permission,helpers/cleanup.py -> CleanupRegistry,,
integration/observed/test_observations_edge_cases_EXT.py,test_observations_anonymous_interval_over_three_days_returns_unauthorized,Nessuno,,
integration/observed/test_observations_edge_cases_EXT.py,test_observations_authenticated_interval_over_ten_days_returns_unauthorized,Nessuno,,
integration/observed/test_observations_edge_cases_EXT.py,test_observations_interval_greater_than_timerange_returns_conflict,Nessuno,,
integration/observed/test_observations_edge_cases_EXT.py,test_observations_daily_returns_valid_payload_on_dballe_window,helpers/runtime.py -> TestRuntime,,
integration/observed/test_observations_edge_cases_EXT.py,test_observations_last_smoke_returns_valid_payload_on_dballe_window,helpers/runtime.py -> TestRuntime,,
integration/observed/test_observations_edge_cases_EXT.py,test_observations_station_details_without_networks_returns_bad_request,Nessuno,,
integration/observed/test_observations_edge_cases_EXT.py,test_observations_station_details_with_multiple_networks_returns_bad_request,helpers/runtime.py -> TestRuntime,,
integration/observed/test_observations_edge_cases_EXT.py,test_observations_station_details_unknown_station_returns_not_found,helpers/runtime.py -> TestRuntime,,
integration/observed/test_observations_edge_cases_EXT.py,test_observations_all_station_products_false_limits_station_details_products,helpers/runtime.py -> TestRuntime,,
integration/requests/test_requests_listing_archive_clone_EXT.py,TestRequestsListing.test_get_requests_returns_expected_shape(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry,,
integration/requests/test_requests_listing_archive_clone_EXT.py,TestRequestsListing.test_get_total_returns_206_with_count(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry,,
integration/requests/test_requests_listing_archive_clone_EXT.py,TestRequestsListing.test_archived_false_excludes_archived_requests(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry,,
integration/requests/test_requests_listing_archive_clone_EXT.py,TestRequestsListing.test_archived_true_returns_only_archived_requests(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry,,
integration/requests/test_requests_listing_archive_clone_EXT.py,TestRequestsArchive.test_archive_success_for_old_completed_request(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry,,
integration/requests/test_requests_listing_archive_clone_EXT.py,TestRequestsArchive.test_archive_pending_request_forbidden(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry,,
integration/requests/test_requests_listing_archive_clone_EXT.py,TestRequestsArchive.test_archive_owner_mismatch_unauthorized(),helpers/auth.py -> AuthenticatedTestUser; helpers/auth.py -> create_authenticated_test_user(); helpers/auth.py -> register_test_user_cleanup(); helpers/cleanup.py -> CleanupRegistry,,
integration/requests/test_requests_listing_archive_clone_EXT.py,TestRequestsClone.test_clone_returns_args_with_dataset_specs(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry,,
integration/requests/test_requests_listing_archive_clone_EXT.py,TestRequestsClone.test_clone_missing_request_not_found(),helpers/auth.py -> AuthenticatedTestUser,,
integration/requests/test_requests_listing_archive_clone_EXT.py,TestRequestsClone.test_clone_foreign_request_unauthorized(),helpers/auth.py -> AuthenticatedTestUser; helpers/auth.py -> create_authenticated_test_user(); helpers/auth.py -> register_test_user_cleanup(); helpers/cleanup.py -> CleanupRegistry,,
integration/schedules/test_schedule_api_contracts_EXT.py,TestSchedulesListing.test_get_schedules_returns_expected_shape(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_schedule_api_contracts_EXT.py,TestSchedulesListing.test_get_total_returns_206_with_count(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_schedule_api_contracts_EXT.py,TestScheduleGetById.test_get_schedule_by_id_returns_details(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_schedule_api_contracts_EXT.py,TestScheduleGetById.test_get_schedule_owner_mismatch_forbidden(),helpers/auth.py -> AuthenticatedTestUser; helpers/auth.py -> create_authenticated_test_user(); helpers/auth.py -> register_test_user_cleanup(); helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_schedule_validation_EXT.py,TestScheduleValidation.test_no_schedule_setting_returns_400(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_schedule_validation_EXT.py,TestScheduleValidation.test_period_less_than_15_minutes_returns_403(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_schedule_validation_EXT.py,TestScheduleValidation.test_opendata_as_non_admin_returns_403(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_schedule_validation_EXT.py,TestScheduleValidation.test_opendata_multidataset_returns_400(),helpers/auth.py -> AuthenticatedTestUser,,
integration/schedules/test_schedule_validation_EXT.py,TestScheduleValidation.test_opendata_observed_dataset_returns_400(),helpers/auth.py -> AuthenticatedTestUser,,
integration/schedules/test_schedule_validation_EXT.py,TestScheduleValidation.test_postprocessor_unauthorized_returns_401(),helpers/auth.py -> create_authenticated_test_user(); helpers/auth.py -> register_test_user_cleanup(); helpers/cleanup.py -> CleanupRegistry,,
integration/schedules/test_schedule_validation_EXT.py,TestScheduleValidation.test_push_queue_missing_returns_403(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_schedule_validation_EXT.py,TestScheduleValidation.test_push_queue_nonexistent_returns_403(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_scheduled_requests_EXT.py,TestScheduledRequests.test_last_true_no_successful_request_returns_404(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_scheduled_requests_EXT.py,TestScheduledRequests.test_last_false_returns_list_of_requests(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_scheduled_requests_EXT.py,TestScheduledRequests.test_get_total_returns_count(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_scheduled_requests_EXT.py,TestSchedulePatchAndDelete.test_disable_enabled_periodic_schedule_success(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_scheduled_requests_EXT.py,TestSchedulePatchAndDelete.test_disable_already_disabled_schedule_conflict(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_scheduled_requests_EXT.py,TestSchedulePatchAndDelete.test_enable_disabled_schedule_recreates_periodic_task(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_scheduled_requests_EXT.py,TestSchedulePatchAndDelete.test_enable_already_enabled_schedule_conflict(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/schedules/test_scheduled_requests_EXT.py,TestSchedulePatchAndDelete.test_delete_schedule_removes_db_and_periodic_task(),helpers/auth.py -> AuthenticatedTestUser; helpers/cleanup.py -> CleanupRegistry; helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> create_data_ready_user(); helpers/data_ready.py -> register_data_ready_user_cleanup(); helpers/runtime.py -> TestRuntime,,
integration/services/test_access_key_service_EXT.py,test_access_key_generate_sets_default_and_null_expiration_EXT,Nessuno,,
integration/services/test_access_key_service_EXT.py,test_access_key_model_is_valid_handles_expiration_states_EXT,Nessuno,,
integration/services/test_access_key_service_EXT.py,test_access_key_service_rejects_wrong_key_EXT,Nessuno,,
integration/services/test_access_key_service_EXT.py,test_access_key_service_handles_missing_and_expired_records_EXT,Nessuno,,
integration/services/test_arkimet_query_parsing_EXT.py,TestArkimetQueryParsing.test_is_filter_allowed_accepts_known_filter_and_rejects_unknown(),Nessuno,,
integration/services/test_arkimet_query_parsing_EXT.py,TestArkimetQueryParsing.test_parse_reftime_formats_inclusive_arkimet_bounds(),Nessuno,,
integration/services/test_arkimet_query_parsing_EXT.py,TestArkimetQueryParsing.test_parse_matchers_decodes_run_and_quantity_filters(),Nessuno,,
integration/services/test_arkimet_query_parsing_EXT.py,TestArkimetQueryParsing.test_decode_run_valid_minute_style_returns_hour_minute(),Nessuno,,
integration/services/test_arkimet_query_parsing_EXT.py,TestArkimetQueryParsing.test_decode_run_invalid_input_type_raises_type_error(),Nessuno,,
integration/services/test_arkimet_query_parsing_EXT.py,TestArkimetQueryParsing.test_decode_run_invalid_style_raises_value_error(),Nessuno,,
integration/services/test_dballe_query_parsing_EXT.py,TestDballeQueryParsing.test_from_query_to_dic_parses_reftime_and_multi_value_filters(),Nessuno,,
integration/services/test_dballe_query_parsing_EXT.py,TestDballeQueryParsing.test_from_filters_to_lists_maps_frontend_codes_to_dballe_fields(),Nessuno,,
integration/services/test_dballe_query_parsing_EXT.py,TestDballeQueryParsing.test_from_query_to_lists_maps_query_dictionary_to_dballe_lists(),Nessuno,,
integration/services/test_dballe_query_parsing_EXT.py,TestDballeQueryParsing.test_parse_query_for_maps_translates_api_names_to_dballe_names(),Nessuno,,
integration/services/test_dballe_query_parsing_EXT.py,TestDballeQueryParsing.test_parse_query_for_data_extraction_uses_dataset_networks_and_reftime(),Nessuno,,
integration/services/test_dballe_query_parsing_EXT.py,TestDballeQueryParsing.test_parse_query_for_data_extraction_rejects_network_outside_dataset(),Nessuno,,
integration/services/test_dballe_query_parsing_EXT.py,TestDballeQueryParsing.test_is_query_for_pluvio_aggregations_selects_configured_dsn(),Nessuno,,
integration/services/test_dballe_query_parsing_EXT.py,TestDballeQueryParsing.test_get_queries_and_dsn_list_with_itertools_expands_filter_combinations(),Nessuno,,
integration/tasks/test_data_extraction_helpers_EXT.py,TestDataExtractionHelpers.test_human_size_formats_existing_thresholds(),Nessuno,,
integration/tasks/test_data_extraction_helpers_EXT.py,TestDataExtractionHelpers.test_package_data_license_archives_license_and_removes_source_file(),Nessuno,,
integration/tasks/test_data_extraction_helpers_EXT.py,TestDataExtractionHelpers.test_adapt_reftime_daily_periodic_schedule_moves_window_forward(),Nessuno,,
integration/tasks/test_data_extraction_helpers_EXT.py,TestDataExtractionHelpers.test_adapt_reftime_hourly_periodic_schedule_moves_window_forward(),Nessuno,,
integration/tasks/test_data_extraction_helpers_EXT.py,TestDataExtractionHelpers.test_adapt_reftime_base_crontab_schedule_uses_daily_interval(),Nessuno,,
integration/tasks/test_data_extraction_quota_and_notifications_EXT.py,TestCheckUserQuotaEXT.test_check_user_quota_raises_when_estimate_exceeds_max_output_size_EXT(),helpers/cleanup.py -> CleanupRegistry,,
integration/tasks/test_data_extraction_quota_and_notifications_EXT.py,TestCheckUserQuotaEXT.test_check_user_quota_raises_when_disk_quota_is_insufficient_EXT(),helpers/cleanup.py -> CleanupRegistry,,
integration/tasks/test_data_extraction_quota_and_notifications_EXT.py,TestCheckUserQuotaEXT.test_check_user_quota_disables_periodic_schedule_on_quota_failure_EXT(),helpers/cleanup.py -> CleanupRegistry,,
integration/tasks/test_data_extraction_quota_and_notifications_EXT.py,TestCheckUserQuotaEXT.test_check_user_quota_skips_user_limits_for_opendata_EXT(),helpers/cleanup.py -> CleanupRegistry,,
integration/tasks/test_data_extraction_quota_and_notifications_EXT.py,TestDataExtractDataReadyEXT.test_data_extract_duplicate_data_ready_returns_without_new_output_EXT(),helpers/cleanup.py -> CleanupRegistry,,
integration/tasks/test_data_extraction_quota_and_notifications_EXT.py,TestDataExtractionNotificationsEXT.test_notify_by_email_retries_with_sleep_noop_and_sends_payload_EXT(),helpers/cleanup.py -> CleanupRegistry,,
integration/tasks/test_data_extraction_quota_and_notifications_EXT.py,TestDataExtractionNotificationsEXT.test_notify_by_amqp_queue_sends_success_payload_with_download_url_EXT(),Nessuno,,
